,0
2023-12-07,2281.982366734579
2023-12-08,2290.326994299894
2023-12-11,2294.677653508446
2023-12-12,2286.5722498594196
2023-12-13,2282.563523461626
2023-12-14,2312.0734674352616
2023-12-15,2352.1994687315296
2023-12-18,2349.731586731499
2023-12-19,2348.5529453992835
2023-12-20,2315.5107315167884
2023-12-21,2323.211551950823
2023-12-22,2336.465503972761
2023-12-26,2341.8483861935433
2023-12-27,2364.010742347942
2023-12-28,2371.3708894185593
2023-12-29,2364.7596767589166
2024-01-01,2364.7596767589166
2024-01-02,2352.897090740762
2024-01-03,2340.2252144432546
2024-01-04,2347.9206863867867
2024-01-05,2358.37120370634
2024-01-08,2335.686395434514
2024-01-09,2341.4136235405467
2024-01-10,2350.32500430816
2024-01-11,2351.0813533997875
2024-01-12,2388.382783470054
2024-01-15,2413.8034019095994
2024-01-16,2403.8567683170886
2024-01-17,2371.304792864852
2024-01-18,2365.309572693173
2024-01-19,2389.3834483056958
2024-01-23,2349.783040477325
2024-01-24,2368.7809282937433
2024-01-25,2353.6521409893267
2024-01-29,2393.621047334113
2024-01-30,2371.6852892238758
2024-01-31,2390.642026543002
2024-02-01,2390.655814071368
2024-02-02,2406.7964592401495
2024-02-05,2390.229952834541
2024-02-06,2419.5309924737844
2024-02-07,2422.1108648015424
2024-02-08,2410.153175599881
2024-02-09,2420.3397731942387
2024-02-12,2403.568954168249
2024-02-13,2419.078354551011
2024-02-14,2427.5020258328536
2024-02-15,2429.69161546146
2024-02-16,2440.273287051903
2024-02-19,2451.1081544218737
2024-02-20,2452.632452867763
2024-02-21,2439.3055867710336
2024-02-22,2461.295726660226
2024-02-23,2455.313078116536
2024-02-26,2441.578116801358
2024-02-27,2454.4527973824133
2024-02-28,2434.847119822283
2024-02-29,2440.2529452538092
2024-03-01,2473.0034949942424
2024-03-04,2475.9507488759523
2024-03-05,2470.65011671548
2024-03-06,2485.6798680131424
2024-03-07,2487.845161346647
2024-03-11,2470.711036266704
2024-03-12,2472.598761105246
2024-03-13,2437.945899530576
2024-03-14,2459.65159478065
2024-03-15,2450.207193994679
2024-03-18,2445.493941671
2024-03-19,2411.043686513542
2024-03-20,2416.907978234084
2024-03-21,2428.059792025522
2024-03-22,2434.838393256938
2024-03-26,2420.148996614461
2024-03-27,2433.076803952526
2024-03-28,2452.23333323471
2024-04-01,2452.23333323471
2024-04-02,2445.1565936169036
2024-04-03,2447.763636847567
2024-04-04,2450.7407839097905
2024-04-05,2448.8841847422814
2024-04-08,2462.4987801085053
2024-04-09,2457.399955197816
2024-04-10,2475.016423254301
2024-04-12,2447.323550791531
2024-04-15,2425.676393762054
2024-04-16,2410.236885547262
2024-04-18,2395.9657407105606
2024-04-19,2408.035304227857
2024-04-22,2429.9765067936873
2024-04-23,2440.07123043477
2024-04-24,2436.908150695313
2024-04-25,2455.3629042914113
2024-04-26,2438.0354095969315
2024-04-29,2461.5516759495963
2024-04-30,2448.776553905906
2024-05-02,2448.0998676060294
2024-05-03,2425.1316162039175
2024-05-06,2419.7686824396574
2024-05-07,2417.9609991124717
2024-05-08,2420.923508994713
2024-05-09,2389.0770190367507
2024-05-10,2400.1907700663496
2024-05-13,2406.879546811046
2024-05-14,2419.2580429550953
2024-05-15,2419.850699277289
